MapIndex,MapLabel,CV_R2,NumComponents
3,bb_moment1,0.44853362599303,1
24,kantonen2020-carfentanil,0.55687042588815,1
28,malen2022-raclopride,0.596630320324243,1
6,bb_moment4,0.62397193388478,1
14,dukart2018-flumazenil,0.666480954285724,1
2,bb_gradient,0.727551810690176,2
11,beliveau2017-sb207145,0.738802091291384,2
43,abagen-genepc1,0.749333918645505,2
21,hillmer2016-flubatine,0.763648695485947,2
54,sydnor2021-SAaxis,0.770305518591084,2
47,hill2010-evoexp,0.82189370615703,3
19,gallezot2017-gsk189254,0.827438396153979,3
27,lukow2022-ro154513,0.828300851157485,3
38,smart2019-abp688,0.829631404371581,3
39,smith2017-flb457,0.831642221520956,3
29,naganawa2020-lsn3172176,0.846909686692277,4
18,gallezot2010-p943,0.852426906076381,4
41,vijay2018-ly2795050,0.855555817633797,4
32,radnakrishnan2018-gsk215083,0.857675442188688,4
51,raichle-cmrglc,0.858763083268606,4
33,rosaneto-abp688,0.863760479351049,5
52,reardon2018-scalingnih,0.864863417755588,5
9,beliveau2017-cimbi36,0.865708286280205,5
49,raichle-cbv,0.866484794841856,5
48,raichle-cbf,0.867342277470236,5
16,fazio2016-madam,0.869793882234459,6
23,kaller2017-sch23390,0.870870007807902,6
25,kim2020-ps13,0.872084711242436,6
15,dukart2018-fpcit,0.872950223230515,6
46,hill2010-devexp,0.872959704951001,6
4,bb_moment2,0.876431458674658,7
20,galovic2021-ge179,0.877344481834263,7
40,tuominen-feobv,0.879295721762743,7
31,normandin2015-omar,0.87978101270764,7
50,raichle-cmr02,0.880353653438878,7
30,norgaard2021-flumazenil,0.88366943098152,8
42,wey2016-martinostat,0.884083706365411,8
22,jaworska2020-fallypride,0.884231814810051,8
35,satterthwaite2014-meancbf,0.885124471016788,8
10,beliveau2017-dasb,0.884719660057378,8
36,savli2012-dasb,0.887792917621072,9
8,aghourian2017-feobv,0.886539927183722,9
13,dubois2015-abp688,0.886314758695617,9
34,sasaki2012-fepe2i,0.886148326252164,9
26,lois2018-pbr28,0.885666923374161,9
7,bb_moment5,0.887736661509844,10
55,neurotransmpc1,0.887957610921344,10
5,bb_moment3,0.888277161466554,10
45,hcps1200-thickness,0.888378425391966,10
17,finnema2016-ucbj,0.887704324642666,10
1,struct_hubs_hcp,0.890278343568967,11
44,hcps1200-myelinmap,0.888652139101562,11
37,savli2012-way100635,0.887553492431004,11
53,reardon2018-scalingpnc,0.885380235449328,11
12,ding2010-mrb,0.881492477611282,11
